content,target_type
baik sangat bantu,1
ok keren sekali,1
sangat bantu,1
ngune,1
bagus dan cocok untuk simpan yang kurang cukup,1
aplikasi ini sangat bantu untuk buat poster poster yang bagus,1
suka sekali dengan app ini moga makin maju,1
keren,1
lot sangat tidak di windows tidak di hp nang bangettt rasa pas ngedit di canva hp ken sekali saya bantingg arghhhh canvaa ayo kasih saya iphone biar tidak rasa betapa sangat amat amat lot aplikasi kamu ini,0
kok aplikasi canva saya tidak bisa di buka tanya,0
pokok keren,1
canva sangat bantu saya dalam siap tugas logo dan kreatifitas untuk ig kelas saran saya banyak lagi tamplet nya,1
bayak bugnya sekarang bagaimana siiii sudah tidak bagus dulu,0
bagus,1
simpel dan praktis saya suka apakah nya,1
benar canfa ini aplikasi bagus tetapi kalau mau ngedit itu kertas kurang lebar,1
bagus,1
ok,1
sangat bantu terima kasih sudah cipta ini,1
baru mau tes,1
bagus,1
bagus,1
saya sangat senang guna aplikasi ini tugas kantor jadi mudah untuk di kerja keeerreeenn laahh pokok,1
amazing,1
kereen desain yang guna untuk brbagai macam tuju,1
baik,1
fleksibel untuk hp dan komputer bikin enak buat ngedit,1
bagus,1
kasih dulu soal lum paham enak di aplikasi youcat,0
sangat bantu,1
keren sekali,1
mungkin di sini saya harus kembang bakat saya heheheh,1
bagus dana keren,1
keren pokok,1
aplikasi mantap coiii,1
sangat bagus cocok untuk buat poster dan edit foto terima kasih canva,1
bagus,1
mantap,1
bagus,1
kren,1
aplikasi bagus lengkap juga tetapi sygnya suka ngelag,1
jozzz,1
bagus,1
bagus tetapi turut saya apakah nya di naikin lagi ya kak kualitas nya,1
saya suka sekali canva,1
jelek karena tidak offline,0
cara mudah buat bagai macam desain tanpa harus download bagai apakah beda,1
sangat guna untuk bagai presentasi paling keren dan baik untuk mula,1
saya sangat puasss,1
aplikasi tidak jls untuk edit lambat sekali buat kesal saja padahal jaring bagus tetapi tetap saja lambat ck,0
gampang cara edit,1
ok,1
saya suka sangat karena praktis,1
mering kan bebas sekali,1
bagussss,1
apakah ini sangat bagus dan membantuu,1
aplikasi tidak jelas apa saja pro harus bayar terus pas sudah bayar bikin bagan sering nge freeze padahal saya ip aneh,0
keren,1
bagus,1
aplikasi sangat batu dalam edit,1
lumayan kadang mas ada bug,1
canfa the best aplikasi design,0
sangat praktis mudah guna dan buat design sesuai ide kita,1
kok aplikasi tidak bisa buka di hp ya tanya,0
mantap men tidak usah download sudah ada di google gratis cokk,1
aplikasi sangat bagus walau awal lumayan bingung,1
baik,1
bagusss syekaliiii,1
teh daun kelor yang di proses di dalam suhu ruang dengan tingkat suhu kisar drajat sehingga nutrisi yang ada pada daun kelor tetap jaga,1
sangat muas,1
untuk edit video tidak saran guna canva hasil jelek putus putus susah guna elemen lain dan lot benar benar bikin kecewa seru seru,0
sudah tahun akhir guna canva ok sekali sih buat edit foto video tugas buat media ajar dan lain fiturnya ok semua,1
bagus sekali,1
mau ngedit saja ribet,0
hei canva bisa tidak kembaliin pulsa saya tanya tanpa ada tuju untuk panjang main potong pulsa orang saja siij,0
sangat baik dan manfaat,1
template cv nya bagus bagus,1
dari bintang satu sampai tujuh,1
aplikasi nnya sangat bantu,1
